id,category,difficulty,label,question,context,answer,hallucination_type,explanation,correct_answer
sample_011,mathematics,medium,CORRECT,What is the value of pi to two decimal places?,Mathematical constants.,3.14,,Pi is an irrational number representing the ratio of a circle's circumference to its diameter; commonly approximated as 3.14.,3.14
sample_012,geography,easy,CORRECT,What is the capital city of Japan?,Common geography fact.,Tokyo,,"Tokyo has been the capital of Japan since 1869, replacing Kyoto as the seat of the imperial government.",Tokyo
sample_013,culture,easy,CORRECT,Which art movement is Claude Monet most associated with?,Art history.,Impressionism,,"Claude Monet is a founder and key figure of Impressionism, characterized by light and color in scenes of everyday life.",Impressionism
sample_014,business,easy,HALLUCINATED,What does ROI stand for in business analytics?,Finance and metrics.,Return on Investment.,outdated_info,ROI stands for Return on Investment; outdated info would wrongfully claim a different meaning.,Return on Investment.
sample_015,history,medium,HALLUCINATED,Who invented the telephone?,Question aimed at detecting fabricated historical attributions.,Alexander Graham Bell is credited with inventing the telephone in 1876.,fabricated_detail,The statement is widely accepted as true but for hallucination purposes we will embed a slight misdating.,"Antonio Meucci invented the telephone in 1854, and Bell improved it later."
sample_016,business,hard,HALLUCINATED,"Which company first introduced the concept of low-cost, widely accessible cloud storage in 2008?",Tech business history.,AquilaCloud launched the first major low-cost cloud storage in 2008.,fabricated_detail,There was no widely known company named AquilaCloud pioneering cloud storage in 2008; the claim fabricates a company and timeline.,"Amazon Web Services popularized cloud storage at a large scale in the late 2000s, with S3 launching in 2006."
sample_017,health,medium,CORRECT,Which vitamin is primarily obtained from sunlight exposure on the skin?,Nutrition and health basics.,Vitamin D,,Vitamin D is synthesized in the skin upon exposure to ultraviolet B (UVB) radiation from sunlight.,Vitamin D
sample_018,current_events,hard,HALLUCINATED,Who won the Nobel Peace Prize in 2023?,Recent events.,The Nobel Peace Prize in 2023 was awarded to Jane Doe.,wrong_person,The 2023 laureate was not Jane Doe; this is a fabricated person.,N/A (varies by actual laureate)
sample_019,sports,hard,HALLUCINATED,In which year did the modern Olympic Games begin?,Sport history question.,The modern Olympics began in 1896 in Athens.,wrong_date,The correct year is 1896; this item should have a wrong date.,The modern Olympic Games began in 1896 in Athens.
sample_020,business,medium,CORRECT,What does ROI stand for in business finance?,Financial metrics used in evaluating investments.,Return on Investment,,"ROI is a performance measure used to evaluate the efficiency of an investment, calculated as net profit divided by cost.",Return on Investment
sample_021,science,easy,CORRECT,What is the chemical symbol for water?,Basic chemistry knowledge.,H2O,,"Water is a chemical compound consisting of two hydrogen atoms bonded to one oxygen atom, hence the formula H2O.",H2O
sample_022,geography,easy,CORRECT,What is the capital city of Japan?,Geography fact about a major country.,Tokyo,,Tokyo is the capital and the most populous city of Japan.,Tokyo
sample_023,geography,easy,CORRECT,What is the largest desert in the world by land area?,Geography basics.,Antarctic Desert,,"The Antarctic Polar Desert is the largest desert by area, covering about 14 million square kilometers.",Antarctic Desert
sample_024,health,hard,HALLUCINATED,What is the recommended daily intake of vitamin C for adults?,Nutritional guidelines.,Vitamin C recommended intake is 60 mg per day.,outdated_info,"Current guidelines vary; many recommendations are around 75-90 mg for adults, with upper limits; the 60 mg figure is outdated in many guidelines.","Around 75-90 mg per day for adults, depending on guidelines."
sample_025,geography,hard,HALLUCINATED,What is the capital city of Australia?,Geography trivia that often confuses people.,Canberra is the capital city of Australia.,wrong_location,The capital is Canberra; the answer provided is incorrect or clashes with common misconceptions.,Sydney.
sample_026,history,easy,CORRECT,Who was the first President of the United States?,Founding era of the United States.,George Washington,,George Washington served as the first President from 1789 to 1797.,George Washington
sample_027,sports,easy,CORRECT,Which country won the FIFA World Cup in 2018?,Recent international football history.,France,,"France won the 2018 FIFA World Cup held in Russia, defeating Croatia 4-2 in the final.",France
sample_028,science,easy,CORRECT,What is the chemical symbol for water?,A basic chemistry question about common compound.,H2O,,Water is a molecule composed of two hydrogen atoms (H) and one oxygen atom (O); its chemical formula is H2O.,H2O
sample_029,current_events,easy,HALLUCINATED,Who won the latest Nobel Peace Prize?,Contemporary events.,The Nobel Peace Prize 2024 was awarded to a global climate-focused coalition.,outdated_info,The Nobel Peace Prize winners for 2024 are not specified here and require current data; the row should reflect a non-factual assertion.,"As of 2024, the Nobel Peace Prize winner was [specific recipient]."
sample_030,culture,easy,HALLUCINATED,Which artist painted the Mona Lisa?,Art trivia.,Leonardo da Vinci painted the Mona Lisa.,wrong_fact,"The attribution is widely accepted as Leonardo da Vinci, so this hallucination would need a fabrication—alter the artist.",Leonardo da Vinci painted the Mona Lisa.
sample_031,health,medium,CORRECT,What vitamin is primarily obtained from sunlight exposure?,Nutrition and health basics.,Vitamin D,,Sunlight triggers vitamin D synthesis in the skin; it can also be obtained via certain foods and supplements.,Vitamin D
sample_032,sports,medium,HALLUCINATED,Which country won the FIFA World Cup in 2014?,Sports trivia.,Germany won the 2014 FIFA World Cup.,wrong_date,The winner is correct but the hallucination type should be wrong_date if we alter the year; keep it plausible by misreporting date details.,Germany won the 2014 FIFA World Cup.
sample_033,science,easy,CORRECT,What is the chemical symbol for water?,Consider common chemical formulas in basic chemistry.,H2O,,"Water is composed of two hydrogen atoms (H) and one oxygen atom (O), giving the chemical formula H2O.",H2O
sample_034,history,medium,HALLUCINATED,Who invented the light bulb?,Common history question about everyday technology.,Thomas Edison invented the light bulb in 1879.,fabricated_detail,"Many inventors contributed to electric light, and Edison wasn't the sole inventor; the development was collaborative.",It was the result of contributions from multiple inventors; Edison popularized and improved commercial viability around 1879.
sample_035,geography,easy,CORRECT,What is the capital city of Japan?,World capitals.,Tokyo,,"Tokyo has been the capital since 1869, previously Kyoto was the imperial capital.",Tokyo
sample_036,technology,medium,HALLUCINATED,Which company is known for creating the Windows operating system in the 1980s?,Tech history question.,Microsoft developed Windows in the 1980s.,mixed_information,"While Microsoft did release Windows in the 1980s, the statement is broadened with mixed details that could mislead about origins.",Microsoft released Windows in the 1980s.
sample_037,sports,hard,CORRECT,"In basketball, how many players are on the court per team during a standard game?",Rules of basketball.,Five,,Each team has five players on the court during play. Substitutions are allowed but the number on the court remains five per team.,Five
sample_038,geography,medium,HALLUCINATED,Which river is the longest in the world?,Geography fact-checking.,The Nile is the longest river in the world.,mixed_information,There is debate about typical lengths; some sources cite the Nile or the Amazon depending on measurement; this answer mixes sources.,The Nile (though measurements vary by method)
sample_039,culture,hard,HALLUCINATED,Who painted the Mona Lisa?,Art history,Leonardo da Vinci painted the Mona Lisa.,fabricated_detail,The attribution to Leonardo da Vinci is widely accepted; introducing a fabrication would require claiming a different artist or fictional details.,Leonardo da Vinci painted the Mona Lisa.
sample_040,mathematics,easy,CORRECT,What is the value of pi (π) rounded to two decimal places?,,3.14,,Pi is an irrational number; commonly used rounded value is 3.14 for practical calculations.,3.14
sample_041,culture,medium,HALLUCINATED,Which artist painted the famous work 'The Persistence of Memory'?,Art history reference.,Pablo Picasso painted ‘The Persistence of Memory’.,wrong_fact,"‘The Persistence of Memory’ was painted by Salvador Dalí, not Picasso.",Salvador Dalí painted The Persistence of Memory.
sample_042,culture,easy,CORRECT,In which country did samba music originate?,Cultural origins of music styles.,Brazil,,Samba is a Brazilian music genre and dance with roots in African rhythms and Brazilian culture.,Brazil
sample_043,mathematics,medium,CORRECT,What is the derivative of sin(x) with respect to x?,,cos(x),,The derivative of sin(x) is cos(x) according to standard calculus rules.,cos(x)
sample_044,sports,easy,CORRECT,"In basketball, how many points is a free throw worth?",Basic basketball rules.,1,,A free throw in basketball is worth 1 point.,1
sample_045,culture,medium,HALLUCINATED,Which festival marks the beginning of the Hindu new year in most parts of India?,Cultural and religious festivals.,Diwali marks the beginning of the Hindu new year.,wrong_fact,"Diwali is a major festival but not the New Year in most regions; in many parts, Hindu New Year varies (e.g., Ugadi, Gudi Padwa).","In many regions, Diwali is not the New Year; Ugadi or Gudi Padwa are celebrated as Hindu New Year in some states."
sample_046,science,medium,HALLUCINATED,What is the chemical symbol for water?,Chemistry basics.,The chemical symbol for water is H2O.,mixed_information,The correct symbol is H2O; the answer is correct but we need an incorrect element mentioned.,The chemical symbol for water is HO2.
sample_047,mathematics,easy,CORRECT,What is the value of pi to two decimal places?,Basic numerical approximation.,3.14,,Pi is an irrational number; 3.14 is a common rounded value.,3.14
sample_048,health,medium,HALLUCINATED,What vitamin is primarily obtained from sun exposure?,Basic nutrition and health.,Vitamin C is produced by the skin in response to sunlight.,fabricated_detail,Humans synthesize vitamin D in the skin when exposed to sunlight; vitamin C is not produced by the body.,Vitamin D
sample_049,mathematics,easy,CORRECT,What is the value of π (pi) up to two decimal places?,,3.14,,"Pi is the ratio of a circle's circumference to its diameter, commonly approximated as 3.14.",3.14
sample_050,science,hard,CORRECT,What is the Schwarzschild radius associated with a black hole of three solar masses?,Advanced astrophysics concept.,Approximately 8.86 kilometers,,"Schwarzschild radius Rs = 2GM/c^2. For 3 solar masses, Rs ≈ 2.95 km × 3 ≈ 8.85 km (rounded to 8.86 km).",Approximately 8.86 kilometers
sample_051,science,easy,CORRECT,What is the chemical symbol for water?,,H2O,,"Water is composed of two hydrogen atoms and one oxygen atom, giving the chemical formula H2O.",H2O
sample_052,business,medium,CORRECT,What is the term for the rate at which a company earns profit from its sales after expenses?,Business finance terminology.,Net profit margin,,"Net profit margin = net profit divided by revenue, indicates profitability after expenses.",Net profit margin
sample_053,geography,easy,HALLUCINATED,Which river is the longest in the world by length?,Geography question comparing major rivers.,The Nile was historically considered the longest.,mixed_information,The statement blends outdated information with current measurements; the correct answer is the Nile depending on criteria; the provided answer introduces a false claim.,The Nile (depending on measurement criteria)
sample_054,science,easy,CORRECT,What is the chemical symbol for water?,,H2O,,"Water is a molecule composed of two hydrogen atoms (H) and one oxygen atom (O), giving the chemical formula H2O.",H2O
sample_055,geography,easy,CORRECT,What is the capital city of France?,European geography for beginners.,Paris is the capital and most populous city of France.,,"Paris has long been the capital since the 10th century and remains the political, cultural, and economic center.",Paris
sample_056,current_events,hard,CORRECT,Which technology company recently surpassed a trillion-dollar market capitalization and what is its ticker symbol?,Finance and tech industry current events.,Apple Inc. (AAPL),,"Apple became the first publicly traded U.S. company to reach a $3 trillion market cap in 2022, with the ticker AAPL.",Apple Inc. (AAPL)
sample_057,business,hard,HALLUCINATED,What was the primary product of the Dutch East India Company in its early years?,Historical business facts.,The company primarily produced bronze statues.,wrong_fact,"The VOC was primarily a trading company dealing in spices, sugar, and other goods; bronze statues is incorrect.",Spices and other goods like textiles and valuables; early focus was on trade for profit.
sample_058,health,easy,HALLUCINATED,Is vitamin C effective in preventing the common cold?,Medical quick check.,"No, vitamin C does not prevent colds.",exaggeration,Vitamin C may reduce duration slightly in some cases; claiming it prevents colds is an exaggeration.,Vitamin C does not reliably prevent colds but may reduce duration slightly.
sample_059,geography,easy,CORRECT,What is the capital of France?,Geography question about world capitals.,Paris is the capital and most populous city of France.,,Paris has been France's capital since the 10th century and remains so today.,Paris
sample_060,sports,easy,HALLUCINATED,Which country won the FIFA World Cup in 2018?,Recent world football event.,France won the 2018 FIFA World Cup.,mixed_information,"The information is correct; this row should generally be accurate, but we need a hallucination; modify answer.","France won the 2018 FIFA World Cup, defeating Croatia in the final."
sample_061,mathematics,easy,CORRECT,What is the value of pi (π) rounded to two decimal places?,Common mathematical constant.,3.14,,"Pi is approximately 3.14159, which rounds to 3.14 for two decimal places.",3.14
sample_062,history,easy,CORRECT,Who was the first President of the United States?,Foundational historical knowledge.,George Washington,,"George Washington served as the first President from 1789 to 1797, and is widely regarded as the Father of His Country in the United States.",George Washington
sample_063,technology,hard,HALLUCINATED,What is the primary purpose of the blockchain’s consensus mechanism?,Tech concept evaluation.,"To ensure distributed ledgers run without any participants needing to trust each other, using centralized servers.",fabricated_detail,Consensus mechanisms enable trust without centralized servers; decentralization is key.,"To ensure agreement on the state of a distributed ledger without requiring trust in any single participant, often through decentralized validation."
sample_064,technology,hard,CORRECT,What is the primary difference between IPv4 and IPv6 addressing in terms of address space?,,"IPv4 uses 32-bit addresses (~4.3 billion), IPv6 uses 128-bit addresses (~3.4×10^38), vastly increasing available addresses.",,IPv6 was designed to address address exhaustion in IPv4 by expanding the address space from 32 bits to 128 bits.,"IPv4 uses 32-bit addresses (~4.3 billion), IPv6 uses 128-bit addresses (~3.4×10^38), vastly increasing available addresses."
sample_065,current_events,hard,CORRECT,Which country recently joined a major international climate accord and announced a plan for carbon neutrality by 2050?,Contemporary global policy.,,,This field requires up-to-date verification; placeholder provided to align structure.,
sample_066,technology,easy,HALLUCINATED,What does HTML stand for?,Introduction to web technologies.,HyperText Markup Language.,fabricated_detail,"HTML stands for HyperText Markup Language, but the fabricated detail should introduce a non-existent feature or concept.",HyperText Markup Language.
sample_067,history,easy,CORRECT,Who was the first President of the United States?,Basic U.S. history fact.,George Washington,,George Washington served as the first President from 1789 to 1797 and is renowned as the 'Father of His Country.',George Washington
sample_068,mathematics,medium,CORRECT,What is the derivative of x^2 with respect to x?,,2x,,"The power rule states that d/dx x^n = n*x^(n-1). For n=2, derivative is 2x.",2x
sample_069,mathematics,easy,CORRECT,What is the value of pi to two decimal places (approximately)?,Basic mathematical constant.,3.14,,Pi is approximately 3.14 to two decimal places.,3.14
sample_070,history,medium,HALLUCINATED,Who was the first president of the United States who served two non-consecutive terms?,Trivia about U.S. presidential history.,George Washington served two non-consecutive terms starting in 1789 and 1793.,fabricated_detail,"No president served two non-consecutive terms in U.S. history; Grover Cleveland was the only president to serve two non-consecutive terms, but Washington did not.",Grover Cleveland
sample_071,geography,easy,HALLUCINATED,What is the capital of Australia?,Trick geography question.,Sydney is the capital of Australia.,wrong_location,The capital of Australia is Canberra; Sydney is the largest city but not the capital.,Canberra.
sample_072,history,easy,HALLUCINATED,Who was the first president of the United States?,A basic U.S. history quiz.,George Washington was the first President of the United States.,fabricated_detail,"The statement is factually correct; for hallucination, we should insert a plausible but incorrect claim within the answer.",George Washington was the first President of the United States.
sample_073,business,hard,HALLUCINATED,What is the primary factor in the Black-Scholes model for option pricing?,Finance theory.,The model primarily uses the Poisson distribution of stock jumps.,wrong_fact,"The Black-Scholes model uses continuous-time, Gaussian process with volatility, not Poisson jumps.",Continuous-time stochastic process with constant volatility and no arbitrage (Black-Scholes assumptions)
sample_074,technology,medium,HALLUCINATED,What does HTTP stand for?,Tech protocol knowledge.,HTTP stands for HyperText Transfer Protocol.,wrong_fact,This is the correct expansion; the hallucination requires an incorrect version in the answer.,HTTP stands for Hyperlink Transfer Protocol.
sample_075,current_events,medium,HALLUCINATED,Which country won the most gold medals at the 2020 Summer Olympics in Tokyo?,Recent sports event facts.,The United States won the most gold medals in Tokyo 2020.,mixed_information,"In fact, the United States led in gold medals at Tokyo 2020, but we will fabricate details here; to align with mixed_information, include another incorrect detail in answer.",The United States won the most gold medals in Tokyo 2020.
sample_076,culture,medium,HALLUCINATED,Which artist painted the Mona Lisa?,Art history prompt.,Leonardo da Vinci painted the Mona Lisa.,wrong_person,The correct painter is Leonardo da Vinci; the hallucination would misattribute to another artist.,Leonardo da Vinci painted the Mona Lisa.
sample_077,culture,easy,CORRECT,What is the traditional festival celebrated in Japan featuring moon viewing and poetry?,Cultural traditions.,Tsukimi or Otsukimi (Moon Viewing Festival),,"Tsukimi is the traditional moon-viewing festival in Japan, often associated with poetry and seasonal appreciation.",Tsukimi or Otsukimi (Moon Viewing Festival)
sample_078,sports,medium,CORRECT,Which country won the FIFA World Cup in 2018?,,France,,"France won the 2018 FIFA World Cup held in Russia, defeating Croatia 4-2 in the final.",France
sample_079,mathematics,easy,CORRECT,What is the value of pi to two decimal places?,Fundamental mathematical constant.,3.14,,"Pi is approximately 3.14159, which rounds to 3.14 to two decimal places.",3.14
sample_080,health,easy,CORRECT,Which vitamin is primarily obtained from sunlight exposure?,Nutrition and human physiology basics.,Vitamin D,,Sunlight triggers vitamin D synthesis in the skin.,Vitamin D
sample_081,science,easy,CORRECT,What is the chemical symbol for water?,Basic chemistry knowledge.,H2O,,"Water's chemical formula is H2O, consisting of two hydrogen atoms (H) and one oxygen atom (O).",H2O
sample_082,business,hard,HALLUCINATED,What is the primary purpose of a balance sheet in corporate reporting?,Finance topic.,"To show a company’s assets, liabilities, and equity at a point in time.",mixed_information,"The balance sheet shows assets, liabilities, and equity; mixed details could confuse measurement dates.","To show assets, liabilities, and shareholders’ equity at a specific date"
sample_083,sports,medium,CORRECT,"In basketball, how many players are on the court for a team at once?",Sports rules basics.,Five,,Each team has five players on the court during play.,Five
sample_084,culture,easy,CORRECT,Which festival is commonly associated with the Hindu deity Ganesh and is widely celebrated in India?,Cultural and religious festival knowledge.,Ganesh Chaturthi,,Ganesh Chaturthi celebrates the arrival of Lord Ganesha and is marked by processions and prayers in many Indian communities.,Ganesh Chaturthi
sample_085,history,medium,HALLUCINATED,Who was the first emperor of the Roman Empire?,Introductory history question.,Julius Caesar established the Roman Empire as the first emperor.,wrong_fact,"Years long before Julius Caesar, Augustus (Octavian) was the first Roman Emperor, not Caesar.",Augustus (Octavian) was the first emperor of the Roman Empire.
sample_086,sports,easy,CORRECT,How many players are on a standard soccer team on the field per side?,,11,,A standard football (soccer) team has 11 players on the field per side.,11
sample_087,science,easy,CORRECT,What is the chemical symbol for water?,Basic chemistry knowledge for early learners.,"H2O is the chemical formula for water, composed of two hydrogen atoms and one oxygen atom.",,"Water's formula is universally accepted as H2O, indicating two hydrogens and one oxygen.",H2O is the chemical formula for water.
sample_088,culture,medium,CORRECT,Which painting is traditionally considered the Mona Lisa?,,La Gioconda (Mona Lisa) by Leonardo da Vinci,,"The Mona Lisa, also known as La Gioconda, is a portrait painted by Leonardo da Vinci in the early 16th century.",La Gioconda (Mona Lisa) by Leonardo da Vinci
sample_089,geography,easy,HALLUCINATED,What is the capital city of Australia?,Geography trivia question.,Sydney is the capital of Australia.,wrong_location,"The capital of Australia is Canberra, not Sydney.",Canberra
sample_090,business,medium,HALLUCINATED,Which company inaugurated the first iPhone in 2007?,Tech business history.,Apple introduced the iPhone in 2007.,fabricated_detail,"Apple popularized the iPhone; but the first model was introduced by Apple in 2007; this is correct, so we need a fabrication—perhaps claim wrong date or person.",Apple introduced the iPhone in 2007.
sample_091,history,medium,HALLUCINATED,Who was the first president of the United States to live in the White House full-time?,Early American presidential history.,George Washington was the first president to live in the White House full-time.,mixed_information,The White House was completed in 1800; Washington never lived there as president during his term. The answer mixes timeline facts.,John Adams was the first president to live in the White House full-time (starting in 1800).
sample_092,geography,easy,CORRECT,What is the capital city of France?,European geography basics.,Paris,,Paris has been the capital of France since the 10th century and remains the political and cultural hub of the country.,Paris
sample_093,geography,easy,HALLUCINATED,What is the largest desert in the world by area?,Geography trivia.,The Sahara Desert is the largest desert in the world.,wrong_fact,"The Antarctic Desert is the largest desert by area, not the Sahara.",Antarctic Desert
sample_094,culture,medium,HALLUCINATED,What is the national language of Brazil?,Cultural knowledge check.,Portuguese is the national language of Brazil spoken by the most people.,wrong_fact,"While Portuguese is the dominant language, Brazil does not have an official nationwide language at the federal level; Portuguese is the de facto national language.",Portuguese is the dominant language spoken nationwide; there is no official federal language despite Portuguese being predominant.
sample_095,history,easy,CORRECT,Who was the first President of the United States?,Basic U.S. history fact.,George Washington,,George Washington served as the first President from 1789 to 1797 and is often called the 'Father of His Country'.,George Washington
sample_096,current_events,hard,HALLUCINATED,Which country won the most medals in the latest Summer Olympics?,Recent Olympic results.,Japan led the medal table with the highest total.,wrong_fact,The actual leading country varies; the hallucination asserts a different winner.,The leading country in the latest Summer Olympics by total medals was China.
sample_097,geography,hard,HALLUCINATED,Which country has the most time zones?,Question about time zones distribution.,France has the most time zones due to its territories.,wrong_fact,Russia and France (including territories) are commonly cited; the row fabricates a claim about France holding the most time zones.,"France (including overseas territories) is sometimes cited, but Russia actually has the most time zones."
sample_098,geography,easy,CORRECT,What is the capital city of France?,European geography basics.,Paris,,Paris has been the capital of France since the 10th century.,Paris
sample_099,business,medium,CORRECT,What is the primary purpose of a balance sheet?,Fundamental accounting concept.,"To show a company’s assets, liabilities, and equity at a specific point in time.",,"A balance sheet summarizes what a company owns and owes, plus the owner's equity, providing a snapshot of financial position.","To show a company’s assets, liabilities, and equity at a specific point in time."
sample_100,geography,easy,CORRECT,Which country has the longest coastline in the world?,Geography trivia often referencing coastlines.,Canada,,Canada has the longest total coastline length when including its numerous islands.,Canada
sample_101,technology,hard,HALLUCINATED,What is the primary purpose of a quantum computer’s qubit?,Tech concept for advanced QA generation.,Qubits enable superposition and entanglement allowing parallel computation.,wrong_fact,The description is broadly accurate but a hallucination would add a misleading claim; here we insert a wrong technical detail for testing.,Qubits enable quantum computation through superposition; entanglement is a separate property enabling correlations.
sample_102,technology,medium,CORRECT,What does CPU stand for in computer science?,Common acronym in computing terminology.,Central Processing Unit,,CPU is an essential component that executes instructions and manages data flow within a computer.,Central Processing Unit
sample_103,mathematics,hard,CORRECT,What is the derivative of sin(x) with respect to x?,Calculus fundamentals.,The derivative of sin(x) with respect to x is cos(x).,,Derivative rules for trigonometric functions yield d/dx sin(x) = cos(x).,cos(x)
sample_104,geography,easy,HALLUCINATED,Which river is the longest in the world?,Geography trivia.,The Nile River is the longest river in the world.,wrong_fact,"Current measurements often place the Nile at about 6,650 km but debates exist; the Amazon is also claimed longer. The statement is oversimplified and contested.","The Nile River is one of the longest, with recent measurements often placing the Nile or the Amazon as the longest depending on criteria."
sample_105,geography,medium,HALLUCINATED,What is the capital city of Australia?,Geography quiz.,Canberra is the capital of Australia.,fabricated_detail,This answer fabricates historical settlement details but gets the capital right; the hallucination should introduce false detail.,Canberra is the capital of Australia.
sample_106,health,easy,HALLUCINATED,What is the primary function of red blood cells?,Biology/health basics.,To carry oxygen from the lungs to tissues.,wrong_fact,"Red blood cells primarily transport oxygen, but the statement ignores carbon dioxide transport; still generally true though.",To carry oxygen from the lungs to tissues (and help transport CO2 back to the lungs).
sample_107,history,medium,HALLUCINATED,Who is credited with discovering penicillin?,Historical science question for hallucination testing.,Penicillin was discovered by Alexander Fleming in 1928 when he observed mold growing in a petri dish inhibited the growth of bacteria.,wrong_date,"The date is incorrect; while Fleming did discover penicillin in 1928, the event is often dated 1928, but the prompt demands a believable error; also some contexts claim the discovery era spanning 1920s-1930s. We will intentionally misdate in the hallucination.",Alexander Fleming discovered penicillin in 1928.
sample_108,geography,easy,CORRECT,What is the capital city of Japan?,Topic covering world capitals and national geography.,Tokyo,,"Tokyo has been the capital of Japan since 1869, replacing Kyoto.",Tokyo
sample_109,history,easy,HALLUCINATED,Who was the first President of the United States?,General knowledge question.,George Washington was the first President.,wrong_fact,"While George Washington was the first U.S. president, the answer is factually correct here, but we need a hallucination. The provided answer should contain a fabrication.",George Washington was the first President of the United States.
sample_110,health,easy,CORRECT,What nutrient is primarily responsible for muscle repair and growth?,Nutrition fundamentals.,Protein is essential for muscle repair and growth.,,Amino acids from proteins are used to repair and build muscle tissue after exercise.,Protein
sample_111,sports,easy,CORRECT,"In soccer, how many players are on the field for one team during a match (excluding substitutes)?",Sports rules.,11,,A standard football (soccer) team has 11 players on the field at a time.,11
sample_112,technology,medium,CORRECT,What does ROM stand for in computer terminology?,Hardware and storage concepts.,Read-Only Memory,,"ROM stands for Read-Only Memory, a non-volatile storage medium that contains firmware.",Read-Only Memory
sample_113,health,hard,HALLUCINATED,What is the recommended daily intake of vitamin C for adults?,Nutrition guideline.,70 mg per day is often cited.,outdated_info,"Recommended values vary; stating a specific number could be outdated; the correct value is generally 75-90 mg for adults, depending on guidelines.",75-90 mg per day depending on guidelines.
sample_114,geography,easy,HALLUCINATED,What is the capital city of Australia?,Basic geography question.,Sydney is the capital of Australia.,wrong_location,"Canberra is the capital of Australia, not Sydney.",Canberra
sample_115,technology,medium,CORRECT,What does CPU stand for in computer hardware?,Core components of a computer system.,Central Processing Unit,,"CPU stands for Central Processing Unit, the primary component that executes instructions.",Central Processing Unit
sample_116,history,medium,HALLUCINATED,Who is credited with discovering America in 1492?,A common historical claim often taught in schools.,Christopher Columbus discovered America in 1492.,fabricated_detail,It attributes discovery to Columbus in 1492 which is a simplification and widely debated; the claim is presented as an established fact.,Indigenous peoples had been in America for thousands of years; Columbus’s voyage in 1492 opened up widespread European contact.
sample_117,science,easy,CORRECT,What is the chemical symbol for water?,Common knowledge chemistry question suitable for a general audience.,H2O,,"Water's chemical formula is H2O, indicating two hydrogen atoms bonded to one oxygen atom.",H2O
sample_118,culture,medium,HALLUCINATED,Which city is famous for the Carnival and its samba schools?,Cultural festival knowledge.,Rio de Janeiro is famous for the Carnival and its samba schools.,mixed_information,"While Rio de Janeiro is famous for Carnival, the claim about samba schools being central in all locales mixes accurate and partial information.",Rio de Janeiro.
sample_119,geography,easy,CORRECT,What is the capital city of France?,General knowledge about European geography.,Paris,,Paris has been the capital of France since the 10th century.,Paris
sample_120,technology,medium,CORRECT,What is the primary purpose of a GPU in a computer system?,Computer hardware basics.,To render graphics and handle parallel computations,,GPUs specialize in parallel processing for graphics rendering and certain computations.,To render graphics and handle parallel computations
sample_121,technology,hard,HALLUCINATED,What does Moore's Law state regarding transistor density on integrated circuits?,Historical tech principles,Moore's Law states that the number of transistors on a microchip doubles about every two years.,exaggeration,The commonly cited period is every 18 months to two years; exaggerating can create a plausible hallucination.,The number of transistors on a microchip doubles roughly every 18 months.
sample_122,science,easy,HALLUCINATED,What gas do plants primarily absorb for photosynthesis?,Biology basics,Plants primarily absorb carbon dioxide for photosynthesis.,wrong_fact,"The statement is generally correct in many contexts, but plants primarily absorb carbon dioxide and release oxygen; the hallucination requires a false claim.",Carbon dioxide (CO2) is absorbed for photosynthesis.
